PeopleAllow,Parliament,Economy,Democracy,Education,Health,CitInterest
1,41.54469323067472,46.43761866479258,48.89680150360318,13.777564098693954,100,81.29897895839073
1,83.63636363636364,100,50.90909090909091,1.1636363636363636,57.91584415584417,20.16493506493507
1.559322033898305,58.05084745762712,100,86.01694915254237,49.904610573042795,1,23.02219531880549
1,57.9185433238824,30.529674939689,50.90496721119614,46.41220397203232,100,71.94569554925495
1.6220825852782765,73.33931777378815,73.33931777378815,64.45242369838421,100,1,64.45242369838421
100,42.06860963434379,52.295272375562156,34.2068706125647,1,59.53063308076112,42.06860963434379
1,63.11065555164476,14.411175483082078,49.458858207851605,14.411175483082078,100,35.80706086405846
100,50.99009900990099,75.4950495049505,50.99009900990099,1.147029702970297,75.4950495049505,1
1,62.727074819274115,41.86532415678849,42.37617385864327,24.84383062421786,100,20.822944095836544
1,39.08708442474312,72.07334273624825,100,82.03828329639335,1.1396332863187588,100
1,70.59234621837518,60.05160202988145,100,63.50755883864126,93.65413241831801,29.644740497267616
1,17.00523290070947,100,50.95217578427087,1.0669536834672675,1.0669536834672675,17.00523290070947
1,39.63339114146394,42.06860963434379,55.912952728161635,51.723841361953156,100,34.2068706125647
1,56.366358784049616,100,67.27476908803723,95.48680862827689,70.78426878752246,78.1831793920248
1.294059405940594,1,50.99009900990099,50.99009900990099,1,1.392079207920792,100
1,53.74234451660194,42.06860963434379,40.71869524724378,100,88.41372192686877,60.25416915128102
1,59.12524580736334,35.4742693434514,59.12524580736334,99.99999999999999,87.6192043113779,87.6192043113779
8.071428571428571,64.64285714285714,100,50.5,1,36.357142857142854,1
9.25,58.75,100,67,17.5,1,1
75.04357872321987,30.64867423958333,80.39562584917358,50.98906462293395,1,100,70.59343877376037
1,100,50.780195048762195,71.24302148172175,35.81760951217531,68.63663614383319,11.651754830599534
1.483248651170185,17.070356971345674,100,75.4953312377126,1.3614603812317068,1,22.30723317629786
1,69.36816538933373,30.64867423958333,50.98906462293395,100,30.64867423958333,50.98906462293395
1,50.915495167307114,50.915495167307114,30.544572180646078,44.43880496072018,100,69.32218447956696
1,59.010949879627354,70.44040374491097,81.86985761019456,35.29383943276677,100,81.86985761019456
1,71.93721983255097,100,71.93721983255097,66.38740116660799,98.1620560342991,57.905829748826456
1,72.76521245462241,45.81491612849058,62.61401573267431,100,100,37.236023927804055
1,50.93022672254058,80.37209068901623,60.74418137803247,41.677467790773584,63.901568197413496,100.00000000000001
1,100,50.85812160249712,50.85812160249712,49.01068542500792,30.463387588828716,50.85812160249712
